Model	LOGO	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
AHR_HUMAN.H11MO.0.B		HUMAN:AHR	9	B	PAS domain factors{1.2.5}	196	AHR_HUMAN
ARNT2_HUMAN.H11MO.0.D		HUMAN:ARNT2	12	D	PAS domain factors{1.2.5}	9915	ARNT2_HUMAN
ARNT_HUMAN.H11MO.0.B		HUMAN:ARNT	9	B	PAS domain factors{1.2.5}	405	ARNT_HUMAN
ASCL1_HUMAN.H11MO.0.A		HUMAN:ASCL1	14	A	MyoD / ASC-related factors{1.2.2}	429	ASCL1_HUMAN
ASCL2_HUMAN.H11MO.0.D		HUMAN:ASCL2	9	D	MyoD / ASC-related factors{1.2.2}	430	ASCL2_HUMAN
ATOH1_HUMAN.H11MO.0.B		HUMAN:ATOH1	9	B	Tal-related factors{1.2.3}	474	ATOH1_HUMAN
BHA15_HUMAN.H11MO.0.B		HUMAN:BHLHA15	11	B	Tal-related factors{1.2.3}	168620	BHA15_HUMAN
BHE22_HUMAN.H11MO.0.D		HUMAN:BHLHE22	13	D	Tal-related factors{1.2.3}	27319	BHE22_HUMAN
BHE23_HUMAN.H11MO.0.D		HUMAN:BHLHE23	12	D	Tal-related factors{1.2.3}	128408	BHE23_HUMAN
BHE40_HUMAN.H11MO.0.A		HUMAN:BHLHE40	10	A	Hairy-related factors{1.2.4}	8553	BHE40_HUMAN
BHE41_HUMAN.H11MO.0.D		HUMAN:BHLHE41	20	D	Hairy-related factors{1.2.4}	79365	BHE41_HUMAN
BMAL1_HUMAN.H11MO.0.A		HUMAN:ARNTL	11	A	PAS domain factors{1.2.5}	406	BMAL1_HUMAN
CLOCK_HUMAN.H11MO.0.C		HUMAN:CLOCK	14	C	PAS domain factors{1.2.5}	9575	CLOCK_HUMAN
EPAS1_HUMAN.H11MO.0.B		HUMAN:EPAS1	9	B	PAS domain factors{1.2.5}	2034	EPAS1_HUMAN
FIGLA_HUMAN.H11MO.0.D		HUMAN:FIGLA	11	D	Tal-related factors{1.2.3}	344018	FIGLA_HUMAN
HAND1_HUMAN.H11MO.0.D		HUMAN:HAND1	17	D	Tal-related factors{1.2.3}	9421	HAND1_HUMAN
HAND1_HUMAN.H11MO.1.D		HUMAN:HAND1	7	D	Tal-related factors{1.2.3}	9421	HAND1_HUMAN
HEN1_HUMAN.H11MO.0.C		HUMAN:NHLH1	20	C	Tal-related factors{1.2.3}	4807	HEN1_HUMAN
HES1_HUMAN.H11MO.0.D		HUMAN:HES1	13	D	Hairy-related factors{1.2.4}	3280	HES1_HUMAN
HES5_HUMAN.H11MO.0.D		HUMAN:HES5	12	D	Hairy-related factors{1.2.4}	388585	HES5_HUMAN
HES7_HUMAN.H11MO.0.D		HUMAN:HES7	12	D	Hairy-related factors{1.2.4}	84667	HES7_HUMAN
HEY1_HUMAN.H11MO.0.D		HUMAN:HEY1	12	D	Hairy-related factors{1.2.4}	23462	HEY1_HUMAN
HEY2_HUMAN.H11MO.0.D		HUMAN:HEY2	17	D	Hairy-related factors{1.2.4}	23493	HEY2_HUMAN
HIF1A_HUMAN.H11MO.0.C		HUMAN:HIF1A	8	C	PAS domain factors{1.2.5}	3091	HIF1A_HUMAN
HTF4_HUMAN.H11MO.0.A		HUMAN:TCF12	10	A	E2A-related factors{1.2.1}	6938	HTF4_HUMAN
ID4_HUMAN.H11MO.0.D		HUMAN:ID4	11	D	HLH domain only{1.2.8}	3400	ID4_HUMAN
ITF2_HUMAN.H11MO.0.C		HUMAN:TCF4	10	C	E2A-related factors{1.2.1}	6925	ITF2_HUMAN
LYL1_HUMAN.H11MO.0.A		HUMAN:LYL1	14	A	Tal-related factors{1.2.3}	4066	LYL1_HUMAN
MAX_HUMAN.H11MO.0.A		HUMAN:MAX	10	A	bHLH-ZIP factors{1.2.6}	4149	MAX_HUMAN
MESP1_HUMAN.H11MO.0.D		HUMAN:MESP1	11	D	Tal-related factors{1.2.3}	55897	MESP1_HUMAN
MGAP_HUMAN.H11MO.0.D		HUMAN:MGA	16	D	bHLH-ZIP factors{1.2.6}; TBX6-related factors{6.5.5}	23269	MGAP_HUMAN
MITF_HUMAN.H11MO.0.A		HUMAN:MITF	10	A	bHLH-ZIP factors{1.2.6}	4286	MITF_HUMAN
MLXPL_HUMAN.H11MO.0.D		HUMAN:MLXIPL	19	D	bHLH-ZIP factors{1.2.6}	51085	MLXPL_HUMAN
MLX_HUMAN.H11MO.0.D		HUMAN:MLX	11	D	bHLH-ZIP factors{1.2.6}	6945	MLX_HUMAN
