Model	LOGO	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
ANDR_HUMAN.H11MO.0.A		HUMAN:AR	18	A	Steroid hormone receptors (NR3){2.1.1}	367	ANDR_HUMAN
ANDR_HUMAN.H11MO.1.A		HUMAN:AR	16	A	Steroid hormone receptors (NR3){2.1.1}	367	ANDR_HUMAN
ANDR_HUMAN.H11MO.2.A		HUMAN:AR	12	A	Steroid hormone receptors (NR3){2.1.1}	367	ANDR_HUMAN
COT1_HUMAN.H11MO.0.C		HUMAN:NR2F1	17	C	RXR-related receptors (NR2){2.1.3}	7025	COT1_HUMAN
COT1_HUMAN.H11MO.1.C		HUMAN:NR2F1	13	C	RXR-related receptors (NR2){2.1.3}	7025	COT1_HUMAN
COT2_HUMAN.H11MO.0.A		HUMAN:NR2F2	13	A	RXR-related receptors (NR2){2.1.3}	7026	COT2_HUMAN
COT2_HUMAN.H11MO.1.A		HUMAN:NR2F2	17	A	RXR-related receptors (NR2){2.1.3}	7026	COT2_HUMAN
ERR1_HUMAN.H11MO.0.A		HUMAN:ESRRA	15	A	Steroid hormone receptors (NR3){2.1.1}	2101	ERR1_HUMAN
ERR2_HUMAN.H11MO.0.A		HUMAN:ESRRB	9	A	Steroid hormone receptors (NR3){2.1.1}	2103	ERR2_HUMAN
ERR3_HUMAN.H11MO.0.B		HUMAN:ESRRG	9	B	Steroid hormone receptors (NR3){2.1.1}	2104	ERR3_HUMAN
ESR1_HUMAN.H11MO.0.A		HUMAN:ESR1	15	A	Steroid hormone receptors (NR3){2.1.1}	2099	ESR1_HUMAN
ESR1_HUMAN.H11MO.1.A		HUMAN:ESR1	10	A	Steroid hormone receptors (NR3){2.1.1}	2099	ESR1_HUMAN
ESR2_HUMAN.H11MO.0.A		HUMAN:ESR2	15	A	Steroid hormone receptors (NR3){2.1.1}	2100	ESR2_HUMAN
ESR2_HUMAN.H11MO.1.A		HUMAN:ESR2	7	A	Steroid hormone receptors (NR3){2.1.1}	2100	ESR2_HUMAN
GCR_HUMAN.H11MO.0.A		HUMAN:NR3C1	15	A	Steroid hormone receptors (NR3){2.1.1}	2908	GCR_HUMAN
